sha1sum,hopper1_kvm_patched_conf1,hopper1_kvm_patched_conf2,hopper2_vmware_conf3,hopper4_vmware_conf2,hopper5_vmware_conf2_vmtools,hopper6_kvm_legacy_conf1,hopper6_kvm_legacy_conf2,hopper3_vbox_conf1,hopper3_vbox_conf2,hopper8_vbox_conf1_guestadditions,hopper8_vbox_conf2_guestadditions,hopper7_qemu_legacy_conf1,hopper7_qemu_legacy_conf2
af5e22951b298f9967909a4f85c284f597f20abc,0,0,0,0,0,0,0,0,0,0,0,0,0
aee7191bb2125377aa2797797a93a3cd2d7001c6,1,1,1,0,0,0,0,1,1,1,1,1,1
ed8c052a98fb57431c22039bd4046c29392ddab5,1,1,1,0,0,0,0,1,1,0,1,1,1
208fa49421ba32c2a19c338dc75548451d3cee92,1,1,1,0,0,0,0,1,1,0,1,1,1
c2bf983bcd1cbe9ea2d4d0ad8decc72d2eabca59,0,0,0,0,0,0,0,0,0,0,0,1,0
5101a2f42f7bb85192f5e589b3a41ef054bed05c,1,1,1,1,1,1,1,1,1,1,1,1,1
c3bdc4f87ea4c333b759e18543aca357f74db526,0,0,0,0,0,0,0,1,0,0,0,0,0
4ad7d76c13a6d0f19ff64efc5d4d3d0e8a64c359,1,1,1,0,0,0,0,1,1,1,1,1,1
89ee15293df30089fe0b112b8f0ea1103ee8d4f5,1,1,1,1,1,1,1,1,1,1,1,1,1
e9911b2c3dfe67ec32c449c40285c9d4590092c8,1,1,1,0,0,0,0,1,1,1,1,1,1
66fcdc0929092a01ea7aa9e63efe9492ceec44e6,0,0,0,0,0,0,0,1,0,0,0,0,0
d32f230975afbf276f9620975192b4943bd10b3c,1,1,1,0,0,0,0,1,1,1,1,1,1
d1e49a7914c9ab9a38d231a7e8ed4c0adeab3806,1,1,1,1,1,1,1,1,1,1,1,1,1
b2f4f14f1ad61555a0433ac503ea1c1e0bfeb862,1,1,1,0,0,0,0,1,1,1,1,1,1
439c9ba48aaab4a29f74b5c193ba47c63f618bd5,1,1,1,1,1,1,1,1,1,1,1,1,1
852f1236e6094f404a713c40e5546c67be7c5863,1,1,1,0,0,0,0,1,1,1,1,1,1
421a821498df9e598269b0ba9b85b2724cdb4c3d,0,0,0,0,0,0,0,0,0,0,0,1,0
c3aa59357b7b42fab7c3d5294b94a8120581c5bd,1,1,1,0,0,0,0,1,1,1,1,1,1
a102bc3df8e2df1584e7f78df0c6af33b039882c,1,1,1,1,1,1,1,1,1,1,1,1,1
82a0951f4a642686c0550d6a0b48c4d0932faf90,1,1,1,1,1,1,1,1,1,1,1,1,1
7261901e62cbb206b0ecb90af72855e46e1e9309,1,1,1,1,0,1,1,1,1,0,1,1,1
bb430c31a03915a0be894b08050928f6bce1fe3f,0,0,0,0,0,0,0,1,1,1,1,0,0
5bc53e91237db39420b85d22ee213419eb9d7bff,0,0,0,0,0,0,0,0,0,0,0,1,0
3cae64dda3c6f609d46131872ab32536fbdbbcbe,0,0,0,0,0,0,0,1,0,0,0,0,0
63507367af685290afabff62e7b6db552f931313,1,1,1,0,0,0,0,1,1,1,1,1,1
696026c951524c5c3922bd9e0569a26910343958,1,1,1,1,1,1,1,1,1,1,1,1,1
efa0f64adaa410b5237e0a042fc7e96edabc366f,1,1,1,0,0,0,0,1,1,1,1,1,1
ec889afddfc690027b3bd4b7fd28961722f6efc3,0,0,0,0,0,0,0,0,0,0,0,1,0
8ffad552493bf575e9a71e649a444450495b8118,1,1,1,0,0,0,0,1,1,1,1,1,1
6d03337e4f4056c522fa34150efd05a355b0ee8c,0,0,0,0,0,0,0,1,0,0,0,0,0
d43c94047de57021c1881540f769f784a1977502,0,0,0,0,0,0,0,0,0,0,0,0,0
bd2e9e200eb1f5cfacddb87d5bd1fa4c349034fd,0,0,0,0,0,0,0,1,1,0,1,0,0
50dd211de253ab48d7ed70457bce5def71577139,1,1,1,1,1,1,1,0,0,0,0,1,1
acf09f6626cdc440270c1b3a5f8c2e1ff6794e3b,1,1,1,0,0,0,0,1,1,1,1,1,1
c96af48b138b51b9ecfe8c8265090123ed9d9630,1,1,1,0,0,0,0,1,1,1,1,1,1
a69901fe5162f1986f227e7def0fe1a18c4ec693,1,1,1,1,1,1,1,1,1,1,1,1,1
a989dd54965222d275bf3978ba8868b732695f68,1,1,1,1,1,1,1,1,1,1,1,1,1
d991f95c65ddf23f5a64195dd5ad44bd13ff3077,0,1,0,1,1,1,0,1,0,0,0,0,1
447586f3625973db4bb027649398569015862f86,1,1,1,0,0,0,0,1,1,0,1,1,1
24cdaa270e0fc213650da3f939fbd286257ec0df,1,1,1,1,1,1,1,1,1,1,1,1,1
2c57af8c29a6216379032f2c26f187dfe60cb4ff,1,1,1,1,1,1,1,1,1,1,1,1,1
2c2896200f8b1184b6d318206cc7235d61e95226,1,1,1,0,0,0,0,1,1,1,1,1,1
863ef923caab748fc75ad3902bb657cfdbf18d59,1,1,1,1,1,1,1,1,1,1,1,1,1
1f9c197d63c71746d33739d11d50f9d018cfd64e,1,1,1,1,1,1,1,1,1,1,1,1,1
88dec218dfc24faeec3256f0323c23a20a02e639,1,1,1,0,0,0,0,1,1,1,1,1,1
dcc516f57634bdf283c38a3570ee6616e55868ff,0,1,0,1,1,1,0,1,0,0,0,0,1
ca5883523ea78fbbbe8910966eeff3aafd59b7dd,1,1,1,0,0,0,0,1,1,1,1,1,1
d9753f7307089271989821330a1b7a9b03010fde,0,0,0,0,0,0,0,1,0,0,0,0,0
993c9226e8deec3e61f1189a3afa7cde964f9b57,0,0,0,0,0,0,0,0,0,0,0,1,0
9ac7dc2768973110c3fb1e2321846f2247f05bb0,1,1,1,0,0,0,0,1,1,1,1,1,1
f835b191c4e68344c932adfcf86fddaaf8cddc35,1,1,1,1,1,1,1,1,1,1,1,1,1
be76f1588c10676f394228fd31ecebfd42973933,0,0,0,0,0,0,0,1,0,0,0,0,0
5fae5d5be0ca8ca6fd14a5bcc23813b2e6dd6dcc,0,0,0,0,0,0,0,1,0,0,0,0,0
ffe6423558e58bc077a00a6d1a04891f6b0746a5,1,1,1,1,1,1,1,1,1,1,1,1,1
400c3fccf09d91a5fde4985d7b52b56581b7fadc,0,0,0,0,0,0,0,0,0,0,0,0,0
5b7ce48416eb8ce969f1a82a1d941413da64a4c0,1,1,1,0,0,0,0,1,1,1,1,1,1
ca288357af94c7b513572fdffbade67f3e9f2677,1,1,1,1,1,1,1,1,1,1,1,1,1
b6576e4c332de49cdd2a4ec480906b25bfa415f9,1,1,1,1,1,1,1,1,1,1,1,1,1
10108c9e309caa5db90f7b0f872d158656045f49,0,0,0,0,0,0,0,0,0,0,0,1,0
6f3b407d0b6bdad851870cce728aee19c84d4b0a,0,0,0,0,0,0,0,0,0,0,0,0,0
1732ae149b85152adb9e65c602248297a9e5910a,1,1,1,0,0,0,0,1,1,0,1,1,1
886743db7079067a4732668c13f44136943a83bd,1,1,1,0,0,0,0,1,1,1,1,1,1
841a9ce2857bed98c91a128a7312ff5a4c9af879,0,0,0,0,0,0,0,0,0,0,0,1,0
35f4fa8d9e8779504300aa449b862ff119ceee49,0,0,0,0,0,0,0,0,0,0,0,0,0
afa07b6d3ab14e96a6431be6d1328834e5b9811a,1,1,1,0,0,0,0,1,1,1,1,1,1
dbf7b94901a9655551af8dafc5153eb4e2aadb2a,1,1,1,1,1,1,1,1,1,1,1,1,1
0b5616228f6556b320ac0d2f586504538abb638e,1,1,1,1,1,1,1,1,1,1,1,1,1
00d75def65016b547f85f6b318d0201486cf43fd,1,1,1,0,0,0,0,1,1,1,1,1,1
3e0e876b891bf0dec296795ebf6c5504b95da115,1,1,1,1,1,1,1,1,1,1,1,1,1
