,sha1sum,disk_read_avg,disk_read_std,disk_write_avg,disk_write_std,proc_avg,proc_std,mem_commit_avg,mem_commit_std,mem_available_avg,mem_available_std,mem_cache_avg,mem_cache_std
0,46ef567c548a46b24b04760ff7b0fde09f6e6220,1376573.61122501,2040866.83525291,834710.143777231,903504.150412892,186.25535203219,186.25535203219,521615360.0,12360911.295133,588011793.066666,11414820.223361,27411160.1777777,1049692.84127397
1,cb7f9d296dc62f8b45ca7ca415847ecbaef133c7,1296216.76759575,2510073.48430746,958006.460643577,730300.55805408,186.390490282005,186.390490282005,527158984.347826,9407054.45883531,589858237.217391,10582351.9038495,27570977.3913043,1028865.92699618
2,70c8bc42ac17e3b67fe8c425406a862583e92e7d,1470843.30547157,2164671.13611586,942849.517609982,804535.704652896,186.50080697968,186.50080697968,533603899.844155,12976933.3550353,581780360.311688,11362317.2818832,29009733.8181818,955449.101851805
3,399ec1e69c8a46de30947f181a047f6e8773e26a,1099633.67331607,1106620.53304558,940291.141851133,611618.21289498,183.804395206433,183.804395206433,519191415.466666,11973153.9128332,606751880.533333,9304754.38259988,26451899.7333333,1223000.82763664
4,eccbb063f935a696eac6eebb1b312c1b8d25afe0,404407.235661683,485263.262944678,717501.50611644,318607.44297102,165.819799798731,165.819799798731,495390208.0,3687035.07418521,612477440.0,2653669.03169781,25141248.0,167711.0688774
5,80ee2ce330e4f0d552c405bc8ae6469643eeabd5,658692.576794874,0.0,646264.414968555,0.0,128.498522696749,128.498522696749,493111978.666666,1277533.28753117,604830378.666666,883352.729338751,28382549.3333333,401635.49109222
6,c473ac554656879ad2c993583472bceeb53810e1,1357609.45265256,1943656.25049607,809845.964110568,747488.131739161,175.023727904901,175.023727904901,515708550.736842,12660548.7388609,594073438.315789,10567837.6605817,27171840.0,1222399.52171938
7,254d6cf2e1fc23ff6e6df63760274b96878577fe,1185356.31119931,486891.596837812,382835.399064182,323076.479150333,110.267556005732,110.267556005732,498939904.0,3174847.22527053,599416832.0,2955531.51942319,28201984.0,421623.217880609
8,08fe9a0d211adabedb72523646adaca5f9463fc9,,,,,100.0,100.0,489912320.0,608256.0,608794624.0,698368.0,27826176.0,256000.0
9,3c561784834c5886f819c70282bd7f63d0ec2bae,,,,,89.7435897435897,89.7435897435897,497367040.0,3295232.0,604284928.0,2955264.0,26187776.0,227328.0
10,6c52b723eb4e8f4bbf9b6f471fbcdf89298f0346,2167726.55637618,2824147.1799325,814609.081736991,596275.390679694,186.772148316175,186.772148316175,499846467.368421,7794932.30353862,616538920.421052,11373524.5356286,26545744.8421052,907069.34465031
11,b1b0b6cc9acc13431105e3fd200ccf8abb8241b8,199275.709806842,51818.2647238802,760608.719419654,81639.5346132346,128.767806267806,128.767806267806,490707626.666666,2541028.75898264,606078293.333333,1353744.35222935,27927893.3333333,491410.002506619
12,97b90705272af3e9ed71c2e8f8fc7c5e30e3ee4f,2409029.63402741,2570815.9868728,646278.157753399,444825.102211412,183.77388074601,183.77388074601,507337140.459016,9502998.29002846,606328731.278688,7704501.60925258,27117265.8360655,971044.050426191
13,400c3fccf09d91a5fde4985d7b52b56581b7fadc,1239479.93200663,2651960.4367631,787531.06978721,879640.345867681,175.072223415862,175.072223415862,550418515.591836,15029369.4450819,566210100.244898,11607428.3702491,27468695.510204,943301.380988829
14,a44e255e0bf5439137d28949b06d5bb2a1663fd9,1807645.3068804,2388955.64383219,828134.671956229,657312.787096292,184.570934016593,184.570934016593,558459328.0,25356222.5330711,557034176.0,20319029.7851148,27263552.0,1331687.07243105
15,f70df24cd5f9e93b141dd9f65602231e69c3548c,1449800.82262152,1453885.55736607,995888.219406636,735988.160703881,172.507281873765,172.507281873765,526400901.40845,12013013.6887709,601252243.830985,9344510.81244449,26964544.9014084,1043961.29243708
