,acc,runtime,iters,predictive
0,0.05,789733.2999999996,91,0.8685784913999527
1,0.1,624027.9000000001,51,0.8612333685264948
2,0.15,259942.30000000008,35,0.8750774357951991
3,0.2,338577.2999999999,27,0.8816142830371727
4,0.25,285872.0,22,0.824611847502804
5,0.3,188365.49999999997,17,0.8531575255457602
6,0.35,121870.39999999998,15,0.8555320660555866
7,0.4,92191.90000000001,13,0.8431641697303381
8,0.45,75899.4,11,0.8687469179540016
9,0.5,62994.59999999998,10,0.8457620268770102
10,0.55,56699.2,8,0.8248591219340438
11,0.6,44820.2,7,0.788553216708501
12,0.65,38544.399999999994,6,0.8089805623504008
13,0.7,37753.700000000004,5,0.819761001757143
14,0.75,28397.000000000004,5,0.775359088421264
15,0.8,26540.800000000003,4,0.8341275732330531
16,0.85,22138.800000000003,4,0.7376877709344465
17,0.9,20306.600000000002,3,0.7830683117294374
18,0.95,16891.4,2,0.8109181675156325
19,1.0,15048.7,1,0.8022936984482757
