,wrr,random,koth,mimosa
1,"{'predictive': 0.8742457533249159, 'runtime': 175806.7, 'iters': 1}","{'predictive': 0.5541769507512837, 'runtime': 277100.30000000005, 'iters': 1}","{'predictive': 0.8399280889468507, 'runtime': 90190.90000000001, 'iters': 1}","{'predictive': 0.8918871448817753, 'runtime': 201143.7, 'iters': 4}"
2,"{'predictive': 0.8742457533249159, 'runtime': 100414.7, 'iters': 1}","{'predictive': 0.5536267457263908, 'runtime': 139001.5, 'iters': 1}","{'predictive': 0.8399280889468507, 'runtime': 90190.90000000001, 'iters': 1}","{'predictive': 0.7871161784597869, 'runtime': 116446.6, 'iters': 4}"
3,"{'predictive': 0.8742457533249159, 'runtime': 65879.0, 'iters': 1}","{'predictive': 0.539313633153434, 'runtime': 106405.0, 'iters': 1}","{'predictive': 0.8399280889468507, 'runtime': 90190.90000000001, 'iters': 1}","{'predictive': 0.9104146775826351, 'runtime': 76103.99999999999, 'iters': 4}"
4,"{'predictive': 0.8742457533249159, 'runtime': 57841.3, 'iters': 1}","{'predictive': 0.5392338130673556, 'runtime': 82295.0, 'iters': 1}","{'predictive': 0.8399280889468507, 'runtime': 90190.90000000001, 'iters': 1}","{'predictive': 0.8663523482651514, 'runtime': 76044.5, 'iters': 4}"
5,"{'predictive': 0.8742457533249159, 'runtime': 39517.1, 'iters': 1}","{'predictive': 0.543792352815143, 'runtime': 69751.7, 'iters': 1}","{'predictive': 0.8399280889468507, 'runtime': 90190.90000000001, 'iters': 1}","{'predictive': 0.7738323133030683, 'runtime': 63846.2, 'iters': 4}"
6,"{'predictive': 0.8742457533249159, 'runtime': 37534.299999999996, 'iters': 1}","{'predictive': 0.5420122495376491, 'runtime': 59759.399999999994, 'iters': 1}","{'predictive': 0.8399280889468507, 'runtime': 90190.90000000001, 'iters': 1}","{'predictive': 0.8812886747938876, 'runtime': 48228.29999999999, 'iters': 4}"
7,"{'predictive': 0.8742457533249159, 'runtime': 37534.299999999996, 'iters': 1}","{'predictive': 0.5541714800516722, 'runtime': 66226.2, 'iters': 1}","{'predictive': 0.8399280889468507, 'runtime': 90190.90000000001, 'iters': 1}","{'predictive': 0.9127654932015352, 'runtime': 50616.09999999999, 'iters': 4}"
8,"{'predictive': 0.8742457533249159, 'runtime': 37534.299999999996, 'iters': 1}","{'predictive': 0.5426752909069665, 'runtime': 71383.0, 'iters': 1}","{'predictive': 0.8399280889468507, 'runtime': 90190.90000000001, 'iters': 1}","{'predictive': 0.7750189707350814, 'runtime': 51589.799999999996, 'iters': 4}"
9,"{'predictive': 0.8742457533249159, 'runtime': 37534.299999999996, 'iters': 1}","{'predictive': 0.5353645240414685, 'runtime': 60424.8, 'iters': 1}","{'predictive': 0.8399280889468507, 'runtime': 90190.90000000001, 'iters': 1}","{'predictive': 0.8887111954477813, 'runtime': 51005.19999999999, 'iters': 4}"
10,"{'predictive': 0.8742457533249159, 'runtime': 37534.299999999996, 'iters': 1}","{'predictive': 0.5568281838193867, 'runtime': 52689.6, 'iters': 1}","{'predictive': 0.8399280889468507, 'runtime': 90190.90000000001, 'iters': 1}","{'predictive': 0.7930926938935159, 'runtime': 51190.59999999999, 'iters': 4}"
11,"{'predictive': 0.8742457533249159, 'runtime': 37534.299999999996, 'iters': 1}","{'predictive': 0.5431685410598772, 'runtime': 64937.0, 'iters': 1}","{'predictive': 0.8399280889468507, 'runtime': 90190.90000000001, 'iters': 1}","{'predictive': 0.8813838891699342, 'runtime': 58819.2, 'iters': 4}"
12,"{'predictive': 0.8742457533249159, 'runtime': 37534.299999999996, 'iters': 1}","{'predictive': 0.5381759448115617, 'runtime': 67515.40000000001, 'iters': 1}","{'predictive': 0.8399280889468507, 'runtime': 90190.90000000001, 'iters': 1}","{'predictive': 0.806089106428489, 'runtime': 55088.99999999999, 'iters': 4}"
13,"{'predictive': 0.8742457533249159, 'runtime': 37534.299999999996, 'iters': 1}","{'predictive': 0.557843757239431, 'runtime': 58491.0, 'iters': 1}","{'predictive': 0.8399280889468507, 'runtime': 90190.90000000001, 'iters': 1}","{'predictive': 0.8266313679678963, 'runtime': 59405.399999999994, 'iters': 4}"
